fecha,vacunadostot100,iddistrito,distrito
2021-10-31,83,12,La Rioja
2021-10-31,71,13,Mendoza
2021-10-31,62,14,Misiones
2021-10-31,84,15,Neuquén
2021-10-31,80,16,Río Negro
2021-10-31,87,22,S del Estero
2021-10-31,69,17,Salta
2021-10-31,75,18,San Juan
2021-10-31,82,19,San Luis
2021-10-31,70,20,Santa Cruz
2021-10-31,79,21,Santa Fe
2021-10-31,79,23,T del Fuego
2021-10-31,74,24,Tucumán
2021-11-01,77,2,Buenos Aires
2021-11-01,87,1,CABA
2021-11-01,82,3,Catamarca
2021-11-01,69,6,Chaco
2021-11-01,68,7,Chubut
2021-11-01,80,4,Córdoba
2021-11-01,80,5,Corrientes
2021-11-01,75,8,Entre Ríos
2021-11-01,82,9,Formosa
2021-11-01,75,10,Jujuy
2021-11-01,85,11,La Pampa
2021-11-01,83,12,La Rioja
2021-11-01,71,13,Mendoza
2021-11-01,63,14,Misiones
2021-11-01,84,15,Neuquén
2021-11-01,80,16,Río Negro
2021-11-01,87,22,S del Estero
2021-11-01,69,17,Salta
2021-11-01,75,18,San Juan
2021-11-01,82,19,San Luis
2021-11-01,70,20,Santa Cruz
2021-11-01,79,21,Santa Fe
2021-11-01,79,23,T del Fuego
2021-11-01,74,24,Tucumán
2021-11-02,77,2,Buenos Aires
2021-11-02,87,1,CABA
